152,Jaylen Waddle,WR55,129.8
153,Leonard Fournette,RB37,129.3
153,Devin Singletary,RB37,129.3
155,Elijah Moore,WR56,129.1
156,Denver Broncos,DST2,128.9
157,Mason Crosby,K23,128.8
157,Ryan Santoso,K23,128.8
159,Sam Ficken,K25,128.1
160,Matt Gay,K26,128
161,Baltimore Ravens,DST3,127.2
162,Jamaal Williams,RB39,126.8
163,Josh Lambo,K27,125.9
163,Evan McPherson,K27,125.9
165,San Francisco 49ers,DST4,125.3
166,Marquez Callaway,WR57,124.7
167,Miami Dolphins,DST5,124.5
168,Mike Williams,WR58,124.4
169,New England Patriots,DST6,124.1
170,Tyler Higbee,TE7,123.5
171,Washington Football Team,DST7,123.3
172,Cleveland Browns,DST8,121.7
172,Zack Moss,RB40,121.7
174,Matt Ammendola,K29,120.9
175,Seattle Seahawks,DST9,120.7
176,Russell Gage,WR59,120.4
177,DeVante Parker,WR60,120.2
177,Jakobi Meyers,WR60,120.2
179,Logan Thomas,TE8,120
180,Nyheim Hines,RB41,119.8
181,Indianapolis Colts,DST10,119
182,Sterling Shepard,WR62,118.6
183,Buffalo Bills,DST11,118.5
184,Jake Elliott,K30,118
185,Dallas Goedert,TE9,117.6
186,Kendrick Bourne,WR63,117.3
186,Tyrell Williams,WR63,117.3
188,Pittsburgh Steelers,DST12,117.1
189,Noah Fant,TE10,117
190,Los Angeles Rams,DST13,116.2
191,Gabriel Davis,WR65,116
192,Ka'imi Fairbairn,K31,115.4
193,Rhamondre Stevenson,RB42,114.2
194,Austin Seibert,K32,113.1
195,Jonnu Smith,TE11,112.9
196,Emmanuel Sanders,WR66,112.8
197,Arizona Cardinals,DST14,112.4
198,Hunter Henry,TE12,111.9
198,Allen Lazard,WR67,111.9
200,Robert Tonyan,TE13,110.7
201,Terrace Marshall Jr.,WR68,110.6
202,Rondale Moore,WR69,110.5
203,Philadelphia Eagles,DST15,110.3
203,Michael Carter,RB43,110.3
205,Tony Pollard,RB44,109.3
206,Evan Engram,TE14,108.4
207,Quintez Cephus,WR70,108.3
208,New Orleans Saints,DST16,108.2
209,J.D. McKissic,RB45,107.9
210,New York Giants,DST17,107.7
210,Mike Gesicki,TE15,107.7
212,Damien Williams,RB46,107.6
213,Green Bay Packers,DST18,107.3
214,Austin Hooper,TE16,106.9
215,James White,RB47,106.3
216,Kansas City Chiefs,DST19,106.2
216,Phillip Lindsay,RB48,106.2
218,Josh Palmer,WR71,105.5
219,Tre'quan Smith,WR72,105.4
220,Chicago Bears,DST20,105.2
221,Salvon Ahmed,RB49,103.8
222,Kadarius Toney,WR73,103.7
223,Taysom Hill,QB33,103.5
224,Christian Kirk,WR74,103.1
225,Sammy Watkins,WR75,102.5
226,Rob Gronkowski,TE17,102.2
226,Tevin Coleman,RB50,102.2
228,David Johnson,RB51,100.6
229,Darrel Williams,RB52,100.5
230,New York Jets,DST21,100.4
