Tevin Coleman,RB,34.4
Brandon Bolden,RB,32.2
Craig Reynolds,RB,31.6
Jerick McKinnon,RB,41.1
Dare Ogunbowale,RB,30.6
Ryquell Armstead,RB,28.9
Darrel Williams,RB,29.6
Patrick Ricard,RB,46.6
Trayveon Williams,RB,23.4
Chris Evans,RB,31.8
JaMycal Hasty,RB,23.9
Kene Nwangwu,RB,25.9
Ty Montgomery,RB,30.1
Chuba Hubbard,RB,24.5
C.J. Ham,RB,32.8
Tony Jones Jr.,RB,22.8
Alec Ingold,RB,31.7
Anthony McFarland,RB,20
Kyren Williams,RB,19.6
Mike Boone,RB,21.8
Jakob Johnson,RB,29.4
Derrick Gore,RB,17.1
Darrynton Evans,RB,16.4
Keith Smith,RB,24.8
Mike Burton,RB,17.9
Rico Dowdle,RB,16.7
Trestan Ebner,RB,16
Giovani Bernard,RB,16.2
Pierre Strong Jr.,RB,14.8
Kylin Hill,RB,14.7
D'Ernest Johnson,RB,15.9
Ben Mason,RB,20.4
Justice Hill,RB,12.6
Jake Funk,RB,11.8
Trey Sermon,RB,12.3
Adam Prentice,RB,20.2
Gary Brightwell,RB,11.7
Benny Snell,RB,10.5
Reggie Gilliam,RB,15.7
Gabe Nabers,RB,11.7
Tory Carter,RB,11.9
Nick Bawden,RB,10.5
Khari Blasingame,RB,10.1
J.J. Taylor,RB,5.1
Derek Watt,RB,6.9
Patrick Taylor,RB,3.5
Deon Jackson,RB,3.4
Trey Ragas,RB,3.3
Malik Davis,RB,3.5
Aaron Shampklin,RB,3.5
Ty Johnson,RB,2.9
Qadree Ollison,RB,3.3
Devine Ozigbo,RB,2.7
Lamical Perine,RB,2.7
Snoop Conner,RB,3
Kevin Harris,RB,2.9
Nick Bellore,RB,4.5
Myles Gaskin,RB,2.2
JaQuan Hardy,RB,2.1
Duke Johnson,RB,2.1
Caleb Huntley,RB,2.6
Jacques Patrick,RB,2
Tyler Badie,RB,2.2
Jermar Jefferson,RB,2
Dwayne Washington,RB,2
D'Vonte Price,RB,2
Nate McCrary,RB,2.2
Tyler Goodson,RB,1.8
